ntp_time,throughput,durasi
1669715095.519096,0.0,1.0
1669715096.519096,0.0,1.0
1669715097.519096,46717.0,1.0
1669715098.519096,34366.0,1.0
1669715099.519096,15038.0,1.0
1669715100.519096,0.0,1.0
1669715101.519096,0.0,1.0
1669715102.519096,43192.0,1.0
1669715103.519096,28511.0,1.0
1669715104.519096,30353.0,1.0
1669715105.519096,31619.0,1.0
1669715106.519096,12812.0,1.0
1669715107.519096,0.0,1.0
1669715108.519096,56306.0,1.0
1669715109.519096,30448.0,1.0
1669715110.519096,43123.0,1.0
1669715111.519096,29551.0,1.0
1669715112.519096,32592.0,1.0
1669715113.519096,33934.0,1.0
1669715114.519096,19117.0,1.0
1669715115.519096,0.0,1.0
1669715116.519096,0.0,1.0
1669715117.519096,0.0,1.0
1669715118.519096,47415.0,1.0
1669715119.519096,32192.0,1.0
1669715120.519096,14662.0,1.0
1669715121.519096,0.0,1.0
1669715122.519096,0.0,1.0
1669715123.519096,46947.0,1.0
1669715124.519096,33823.0,1.0
1669715125.519096,17654.0,1.0
1669715126.519096,0.0,1.0
1669715127.519096,45850.0,1.0
1669715128.519096,32803.0,1.0
1669715129.519096,35235.0,1.0
1669715130.519096,23820.0,1.0
1669715131.519096,0.0,1.0
1669715132.519096,0.0,1.0
1669715133.519096,45559.0,1.0
1669715134.519096,47829.0,1.0
1669715135.519096,49575.0,1.0
1669715136.519096,32312.0,1.0
1669715137.519096,32244.0,1.0
1669715138.519096,42432.0,1.0
1669715139.519096,42214.0,1.0
1669715140.519096,40244.0,1.0
1669715141.519096,32405.0,1.0
1669715142.519096,30212.0,1.0
1669715143.519096,39114.0,1.0
1669715144.519096,14301.0,1.0
1669715145.519096,60254.0,1.0
1669715146.519096,36838.0,1.0
1669715147.519096,25819.0,1.0
1669715148.519096,63430.0,1.0
1669715149.519096,40705.0,1.0
1669715150.519096,32216.0,1.0
1669715151.519096,32629.0,1.0
1669715152.519096,16011.0,1.0
1669715153.519096,0.0,1.0
1669715154.519096,0.0,1.0
1669715155.519096,53706.0,1.0
1669715156.519096,12351.0,1.0
1669715157.519096,0.0,1.0
1669715158.519096,0.0,1.0
1669715159.519096,77433.0,1.0
1669715160.519096,30173.0,1.0
1669715161.519096,65075.0,1.0
1669715162.519096,32403.0,1.0
1669715163.519096,35117.0,1.0
1669715164.519096,18012.0,1.0
1669715165.519096,0.0,1.0
1669715166.519096,56648.0,1.0
1669715167.519096,31276.0,1.0
1669715168.519096,45336.0,1.0
1669715169.519096,30049.0,1.0
1669715170.519096,34440.0,1.0
1669715171.519096,43318.0,1.0
1669715172.519096,26127.0,1.0
1669715173.519096,45390.0,1.0
1669715174.519096,29203.0,1.0
1669715175.519096,41880.0,1.0
1669715176.519096,40988.0,1.0
1669715177.519096,32373.0,1.0
1669715178.519096,32197.0,1.0
1669715179.519096,12554.0,1.0
1669715180.519096,0.0,1.0
1669715181.519096,0.0,1.0
1669715182.519096,47859.0,1.0
1669715183.519096,29672.0,1.0
1669715184.519096,31632.0,1.0
1669715185.519096,14066.0,1.0
1669715186.519096,0.0,1.0
1669715187.519096,65783.0,1.0
1669715188.519096,16558.0,1.0
1669715189.519096,56376.0,1.0
1669715190.519096,36119.0,1.0
1669715191.519096,22613.0,1.0
1669715192.519096,0.0,1.0
1669715193.519096,54820.0,1.0
1669715194.519096,40019.0,1.0
1669715195.519096,32442.0,1.0
1669715196.519096,31714.0,1.0
1669715197.519096,12010.0,1.0
1669715198.519096,0.0,1.0
1669715199.519096,0.0,1.0
1669715200.519096,0.0,1.0
1669715201.519096,55986.0,1.0
1669715202.519096,20994.0,1.0
1669715203.519096,48581.0,1.0
1669715204.519096,35745.0,1.0
1669715205.519096,47121.0,1.0
1669715206.519096,27486.0,1.0
1669715207.519096,74506.0,1.0
1669715208.519096,32437.0,1.0
1669715209.519096,1327.0,1.0
1669715210.519096,66549.0,1.0
1669715211.519096,13356.0,1.0
1669715212.519096,54428.0,1.0
1669715213.519096,32535.0,1.0
1669715214.519096,14365.0,1.0
1669715215.519096,0.0,1.0
1669715216.519096,0.0,1.0
1669715217.519096,57119.0,1.0
1669715218.519096,13166.0,1.0
1669715219.519096,52792.0,1.0
1669715220.519096,30972.0,1.0
1669715221.519096,37947.0,1.0
1669715222.519096,17697.0,1.0
1669715223.519096,51221.0,1.0
1669715224.519096,34703.0,1.0
1669715225.519096,42407.0,1.0
1669715226.519096,26053.0,1.0
1669715227.519096,53597.0,1.0
1669715228.519096,15467.0,1.0
1669715229.519096,0.0,1.0
1669715230.519096,0.0,1.0
1669715231.519096,0.0,1.0
1669715232.519096,42777.0,1.0
1669715233.519096,32187.0,1.0
1669715234.519096,34318.0,1.0
1669715235.519096,18798.0,1.0
1669715236.519096,0.0,1.0
1669715237.519096,0.0,1.0
1669715238.519096,42410.0,1.0
1669715239.519096,34145.0,1.0
1669715240.519096,41325.0,1.0
